commercialkey|loaddate|recordsource|extractdate|hashdiff|employeenumber|lastname|firstname|email|createdate|officecode|jobtitle|updatedate
B9F94C77652C9A76FC8A442748CD54BD|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|886A663108470C6134305A37B6AD5AF9|1702|Gerard|Martin|mgerard@classicmodelcars.com|2015-01-01|4|Sales Rep|2015-01-01
C0A271BC0ECB776A094786474322CB82|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|8B136E311ADBC61DC6DD97860723C60F|1286|Tseng|Foon Yue|ftseng@classicmodelcars.com|2015-01-01|3|Sales Rep|2015-01-01
C44E503833B64E9F27197A484F4257C0|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|B5382B0DD0D1508D4C5C5FAF93B73155|1188|Firrelli|Julie|jfirrelli@classicmodelcars.com|2015-01-01|2|Sales Rep|2015-01-01
D1EE59E20AD01CEDC15F5118A7626099|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|5874CCFD72AFB0200053A5A026C49659|1370|Hernandez|Gerard|ghernande@classicmodelcars.com|2015-01-01|4|Sales Rep|2015-01-01
E48E13207341B6BFFB7FB1622282247B|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|99D749AB299E4876BD238CABF0F2264F|1337|Bondur|Loui|lbondur@classicmodelcars.com|2015-01-01|4|Sales Rep|2015-01-01
00000000000000000000000000000000|1900-01-01T00:00:00|SYSTEM|1900-01-01T00:00:00-05:00|00000000000000000000000000000000|0|NA|NA|NA|1900-01-01|NA|NA|1900-01-01
0F2C9A93EEA6F38FABB3ACB1C31488C6|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|889CB566D6A8654B22FAB52934531E9F|1166|Thompson|Leslie|lthompson@classicmodelcars.com|2015-01-01|1|Sales Rep|2015-01-01
3948EAD63A9F2944218DE038D8934305|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|DA04879B126545493F4081BCFE2B72D5|1216|Patterson|Steve|spatterson@classicmodelcars.com|2015-01-01|2|Sales Rep|2015-01-01
4462BF0DDBE0D0DA40E1E828EBEBEB11|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|E345485301F8215CBCA64402077D977A|1621|Nishi|Mami|mnishi@classicmodelcars.com|2015-01-01|5|Sales Rep|2015-01-01
4671AEAF49C792689533B00664A5C3EF|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|AAEEEDAC8561AC1F33EBFCA7480C0A20|1323|Vanauf|George|gvanauf@classicmodelcars.com|2015-01-01|3|Sales Rep|2015-01-01
49B8B4F95F02E055801DA3B4F58E28B7|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|633BFA18E6ECEE263CC538F8C0C6CE1F|1504|Jones|Barry|bjones@classicmodelcars.com|2015-01-01|7|Sales Rep|2015-01-01
52947E0ADE57A09E4A1386D08F17B656|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|6ADF24CEC3060108676AEB7D04D706EA|1612|Marsh|Peter|pmarsh@classicmodelcars.com|2015-01-01|6|Sales Rep|2015-01-01
5CBDFD0DFA22A3FCA7266376887F549B|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|002DCD27EE2EE24486C53B5A5F5662A0|1501|Bott|Larry|lbott@classicmodelcars.com|2015-01-01|7|Sales Rep|2015-01-01
7A6A74CBE87BC60030A4BD041DD47B78|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|9C77F42E947D08C632AC9A8C64950B4F|1611|Fixter|Andy|afixter@classicmodelcars.com|2015-01-01|6|Sales Rep|2015-01-01
9701A1C165DD9420816BFEC5EDD6C2B1|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|23041C9372F91D96F43039FD6DD314CE|1401|Castillo|Pamela|pcastillo@classicmodelcars.com|2015-01-01|4|Sales Rep|2015-01-01
A3FB4FBF9A6F9CF09166AA9C20CBC1AD|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:39.743000-04:00|0AF99DED3C9BF7AF93F86489A139EFED|1165|Jennings|Leslie|ljennings@classicmodelcars.com|2015-01-01|1|Sales Rep|2015-01-01
