customerskey|loaddate|enddate|extractdate|recordsource|hashdiff|customernumber|customername|contactlastname|contactfirstname|phone|addressline1|addressline2|city|state|postalcode|country|salesrepemployeenumber|creditlimit|createdate|updatedate
00000000000000000000000000000000|1900-01-01T00:00:00|9999-01-01T00:00:00|1900-01-01T00:00:00-05:00|SYSTEM|00000000000000000000000000000000|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|0.00|1900-01-01|1900-01-01
F8FD14148096CA183FD5CC24D62B11D6|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|FB0E54FB2210381CA39FCAC07EF5BA4E|103|Atelier graphique|Schmitt|Carine |40.32.2555|54, rue Royale|NULL|Nantes|NULL|44000|France|1370|21000.00|2015-01-01|2015-01-01
9B37AB68970F6CB03AC22CC6645BE51E|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|7ABFDF805C2E984914DD03C6EEFFE93B|112|Signal Gift Stores|King|Jean|7025551838|8489 Strong St.|NULL|Las Vegas|NV|83030|USA|1166|71800.00|2015-01-01|2015-01-01
743C0C21889500E13A6B97FC680E637A|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|FD1D387F26428C8A082B74E7AAED2750|114|Australian Collectors, Co.|Ferguson|Peter|03 9520 4555|636 St Kilda Road|Level 3|Melbourne|Victoria|3004|Australia|1611|117300.00|2015-01-01|2015-01-01
6F4D69D9E2F053B895796FF3D140BD77|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|B4CB5F84931AB88AC6D8267B260C4B76|119|La Rochelle Gifts|Labrune|Janine |40.67.8555|67, rue des Cinquante Otages|NULL|Nantes|NULL|44000|France|1370|118200.00|2015-01-01|2015-01-01
5BBFC82FD806AD51478ED0E004011423|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|1A5D85FE7A6B09D6BA79E8A5969BB6E1|121|Baane Mini Imports|Bergulfsen|Jonas |07-98 9555|Erling Skakkes gate 78|NULL|Stavern|NULL|4110|Norway|1504|81700.00|2015-01-01|2015-01-01
6DF2CF4562641567D6FFF1B3E53E2343|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|0F9B37A6CDF2667E665A1C17CDFA9DA2|124|Mini Gifts Distributors Ltd.|Nelson|Susan|4155551450|5677 Strong St.|NULL|San Rafael|CA|97562|USA|1165|210500.00|2015-01-01|2015-01-01
B84FEB360BD35E471A2D60F24251E71C|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|7DD70199245A3A4E207D4D451E65D712|125|Havel & Zbyszek Co|Piestrzeniewicz|Zbyszek |(26) 642-7555|ul. Filtrowa 68|NULL|Warszawa|NULL|01-012|Poland|NULL|0.00|2015-01-01|2015-01-01
7471C6E31A195E12E60E324F17454AC1|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|1CB42194AAEDDBEFE4086074430A34C2|128|Blauer See Auto, Co.|Keitel|Roland|+49 69 66 90 2555|Lyonerstr. 34|NULL|Frankfurt|NULL|60528|Germany|1504|59700.00|2015-01-01|2015-01-01
2975A4BE18255BE55D3BAB45EA5DE449|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|94DE2871D0DD6CF8923BFF21D5EC163A|129|Mini Wheels Co.|Murphy|Julie|6505555787|5557 North Pendale Street|NULL|San Francisco|CA|94217|USA|1165|64600.00|2015-01-01|2015-01-01
