employeeskey|loaddate|recordsource|extractdate|hashdiff|employeenumber|firstname|lastname|extension|jobtitle|email|officecode|reportsto|createdate|updatedate
00000000000000000000000000000000|1900-01-01T00:00:00|SYSTEM|1900-01-01T00:00:00-05:00|00000000000000000000000000000000|0|NA|NA|NA|NA|NA|NA|0|1900-01-01|1900-01-01
0F2C9A93EEA6F38FABB3ACB1C31488C6|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|889CB566D6A8654B22FAB52934531E9F|1166|Leslie|Thompson|x4065|Sales Rep|lthompson@classicmodelcars.com|1|1143|2015-01-01|2015-01-01
208E43F0E45C4C78CAFADB83D2888CB6|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|48DE716FAAA9862A27F3EEAED6711B1A|1143|Anthony|Bow|x5428|Sales Manager (NA)|abow@classicmodelcars.com|1|1056|2015-01-01|2015-01-01
3948EAD63A9F2944218DE038D8934305|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|DA04879B126545493F4081BCFE2B72D5|1216|Steve|Patterson|x4334|Sales Rep|spatterson@classicmodelcars.com|2|1143|2015-01-01|2015-01-01
4462BF0DDBE0D0DA40E1E828EBEBEB11|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|E345485301F8215CBCA64402077D977A|1621|Mami|Nishi|x101|Sales Rep|mnishi@classicmodelcars.com|5|1056|2015-01-01|2015-01-01
4671AEAF49C792689533B00664A5C3EF|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|AAEEEDAC8561AC1F33EBFCA7480C0A20|1323|George|Vanauf|x4102|Sales Rep|gvanauf@classicmodelcars.com|3|1143|2015-01-01|2015-01-01
49B8B4F95F02E055801DA3B4F58E28B7|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|633BFA18E6ECEE263CC538F8C0C6CE1F|1504|Barry|Jones|x102|Sales Rep|bjones@classicmodelcars.com|7|1102|2015-01-01|2015-01-01
4CA82782C5372A547C104929F03FE7A9|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|6A675E4F11E217718A5173C325EC41A6|1056|Mary|Patterson|x4611|VP Sales|mpatterso@classicmodelcars.com|1|1002|2015-01-01|2015-01-01
52947E0ADE57A09E4A1386D08F17B656|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|6ADF24CEC3060108676AEB7D04D706EA|1612|Peter|Marsh|x102|Sales Rep|pmarsh@classicmodelcars.com|6|1088|2015-01-01|2015-01-01
5CBDFD0DFA22A3FCA7266376887F549B|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|002DCD27EE2EE24486C53B5A5F5662A0|1501|Larry|Bott|x2311|Sales Rep|lbott@classicmodelcars.com|7|1102|2015-01-01|2015-01-01
